date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2011-09-30,27.633333333333333,20.5,0.0,9.443333333333333,5.2,3.5597222222222222,44.53333333333333,20.345833333333335,24.95138888888889,25.575,23.643055555555556,13.675,57.326388888888886,83.3125,0.07361111111111111,1007.175,23.34722222222222,8.176388888888889,259.43194444444447,10.295833333333333
2011-10-31,29.741935483870968,20.161290322580644,0.0,11.329032258064515,5.967741935483871,3.8266129032258065,45.516129032258064,17.830645161290324,26.14516129032258,26.768817204301076,25.047043010752688,12.298387096774194,25.103494623655912,66.92204301075269,0.09086021505376343,1010.5255376344086,24.293010752688172,9.553763440860216,126.36424731182795,7.615591397849462
2011-11-30,30.0,17.433333333333334,0.0,9.28,6.0,3.8625,44.733333333333334,11.96111111111111,24.306944444444444,24.866666666666667,24.252777777777776,14.713888888888889,5.426388888888889,48.00277777777778,0.0001388888888888889,1011.9944444444444,22.829166666666666,10.0,94.21944444444445,9.256944444444445
2011-12-31,30.225806451612904,15.870967741935484,0.0,10.161290322580646,5.967741935483871,3.825268817204301,46.483870967741936,8.94489247311828,23.701612903225808,24.106182795698924,24.0,12.209677419354838,1.98252688172043,40.71236559139785,0.0,1012.5349462365591,21.831989247311828,10.0,107.51747311827957,7.532258064516129
2012-01-31,29.258064516129032,14.419354838709678,0.0,11.009677419354839,5.612903225806452,3.7580645161290325,46.774193548387096,7.626344086021505,22.384408602150536,22.551075268817204,22.798387096774192,10.551075268817204,5.205645161290323,41.66935483870968,0.0,1012.9112903225806,20.865591397849464,10.0,180.65725806451613,6.872311827956989
2012-02-29,33.0,17.655172413793103,0.0,11.382758620689655,6.379310344827586,4.130747126436781,44.89655172413793,4.839080459770115,25.955459770114942,26.14367816091954,26.663793103448278,11.050287356321839,1.3807471264367817,27.785919540229884,0.0,1011.455459770115,24.33189655172414,10.0,159.57902298850576,7.341954022988506
2012-03-31,35.83870967741935,19.225806451612904,0.0,11.6,6.838709677419355,4.479838709677419,47.064516129032256,4.012096774193548,28.76478494623656,28.864247311827956,29.611559139784948,11.057795698924732,0.41397849462365593,24.19489247311828,0.0,1010.7083333333334,27.076612903225808,10.0,200.78763440860214,7.622311827956989
2012-04-30,37.4,23.033333333333335,0.0,11.6,7.433333333333334,4.668055555555555,45.4,11.755555555555556,30.970833333333335,30.993055555555557,31.219444444444445,11.5125,5.854166666666667,34.31111111111111,0.02402777777777778,1008.75,29.805555555555557,9.970833333333333,262.2680555555556,8.719444444444445
2012-05-31,36.87096774193548,22.258064516129032,0.0,12.512903225806452,7.064516129032258,4.584677419354839,47.74193548387097,16.112903225806452,30.313172043010752,30.38978494623656,29.63037634408602,15.561827956989248,5.217741935483871,50.12231182795699,0.002688172043010753,1007.8077956989247,28.91532258064516,9.987903225806452,284.93413978494624,12.811827956989248
2012-06-30,31.133333333333333,22.866666666666667,0.0,12.719999999999999,6.466666666666667,3.948611111111111,45.6,20.1625,28.330555555555556,28.343055555555555,26.356944444444444,18.31388888888889,45.47638888888889,70.81111111111112,0.08194444444444444,1005.4583333333334,26.180555555555557,9.616666666666667,257.44305555555553,14.768055555555556
