Sr. No.,State_Name_With_LGD_Code,DISTRICT,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,2015_Pre-monsoon,2015_Post-monsoon,2016_Pre-monsoon,2016_Post-monsoon,2017_Pre-monsoon,2017_Post-monsoon,2018_Pre-monsoon,2018_Post-monsoon,2019_Pre-monsoon,2019_Post-monsoon,2020_Pre-monsoon,2020_Post-monsoon,2021_Pre-monsoon,2021_Post-monsoon,2022_Pre-monsoon,2022_Post-monsoon,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
3538,Maharashtra_27,PUNE,Indapur_4516,,Varkute Bk.,Varkute Bk.,Dug well,SGWD,W181200074571501,18.201,74.952,8.9,Basalt,5.3,4.6,7.2,0.7,7.1,1.8,8.0,7.3,4.9,1.9,2.8,1.3,4.15,0.1,8.0,1.9,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3539,Maharashtra_27,PUNE,Indapur_4516,Tawshi_185891,Tawashi,Tawashi,Dug well,SGWD,W180415074402001,18.071904,74.669067,11.4,Basalt,5.7,4.0,10.0,1.1,5.4,2.2,3.1,2.3,6.1,4.1,5.0,2.4,8.9,2.3,4.3,2.55,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3546,Maharashtra_27,PUNE,Purandar_4522,,Hargude,Hargude,Dug well,SGWD,W181305074043701,18.217104,74.074067,8.3,Basalt,4.9,3.8,8.1,2.0,6.2,2.5,4.7,4.6,8.25,2.0,3.2,3.1,5.9,3.0,5.9,3.0,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3547,Maharashtra_27,PUNE,Purandar_4522,,Harni,Harni,Dug well,SGWD,W181020074070501,18.175204,74.115067,7.05,Basalt,6.4,3.0,5.9,2.9,5.9,2.4,5.9,3.0,6.4,2.3,4.9,2.3,6.2,2.5,5.0,2.1,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3548,Maharashtra_27,PUNE,Purandar_4522,,Jejuri Rural,Jejuri Rural,Dug well,SGWD,W181657074084701,18.268704,74.143267,7.0,Basalt,5.5,3.2,5.1,2.7,5.45,2.0,3.1,3.1,6.5,2.2,3.0,1.3,3.6,3.3,4.0,1.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3549,Maharashtra_27,PUNE,Purandar_4522,,Parinche,Parinche,Dug well,SGWD,W181125074051201,18.194304,74.083767,11.85,Basalt,9.7,9.2,11.8,8.6,11.0,8.65,11.8,7.9,11.8,7.0,5.6,5.0,10.2,8.1,10.5,6.2,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3550,Maharashtra_27,PUNE,Purandar_4522,,Pingori,Pingori,Dug well,SGWD,W181536074031501,18.223004,74.118167,9.4,Basalt,7.5,3.4,8.5,3.0,5.9,3.85,6.3,4.2,4.6,2.4,5.1,3.4,6.5,3.6,6.7,3.1,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3551,Maharashtra_27,PUNE,Purandar_4522,,Pondhe,Pondhe,Dug well,SGWD,W182528074163201,18.426204,74.274667,9.8,Basalt,7.5,2.1,5.4,1.5,4.1,0.95,4.7,3.5,4.0,3.0,5.8,1.0,3.8,2.1,4.0,2.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3552,Maharashtra_27,PUNE,Purandar_4522,,Sakurde,Sakurde,Dug well,SGWD,W181623074071301,18.262404,74.127167,10.7,Basalt,6.9,1.9,10.5,1.5,8.8,1.0,5.2,1.2,7.65,1.0,4.3,1.2,4.9,3.0,6.0,1.2,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3553,Maharashtra_27,PUNE,Purandar_4522,,Walhe,Walhe,Dug well,SGWD,W181130074090601,18.185104,74.153267,9.0,Basalt,7.3,6.5,8.45,3.9,6.5,3.05,6.1,5.8,6.6,5.0,7.9,0.7,4.9,3.9,6.7,1.3,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3554,Maharashtra_27,PUNE,Purandar_4522,Belsar_186398,Belsar,Belsar,Dug well,SGWD,W181840074074201,18.311504,74.132367,16.5,Basalt,14.6,10.7,14.3,7.7,15.7,10.2,15.4,11.0,14.8,9.4,10.5,7.6,8.4,7.8,8.6,8.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3555,Maharashtra_27,PUNE,Purandar_4522,Dive_186411,Dive,Dive,Dug well,SGWD,W182253074010201,18.378204,74.029867,36.1,Basalt,18.0,8.1,11.4,7.5,12.0,7.1,13.41,10.9,12.9,8.5,11.4,3.7,11.0,9.2,14.6,4.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3556,Maharashtra_27,PUNE,Purandar_4522,Gurholi_186416,Gurholi,Gurholi,Dug well,SGWD,W182418074053301,18.397404,74.082767,8.7,Basalt,7.6,3.4,6.0,3.0,4.35,3.35,4.6,4.2,6.4,4.7,3.8,1.0,5.5,4.0,7.1,1.1,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3557,Maharashtra_27,PUNE,Purandar_4522,Khanwadi_186426,Khanvadi,Khanvadi,Dug well,SGWD,W181953074053701,18.330104,74.094867,9.15,Basalt,4.7,3.2,4.7,3.0,4.15,1.8,4.6,3.9,5.0,2.9,4.3,0.6,3.8,2.7,7.1,1.2,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3558,Maharashtra_27,PUNE,Purandar_4522,Malshiras_186435,Malshiras,Malshiras,Dug well,SGWD,W182420074140301,18.406804,74.230467,12.2,Basalt,7.7,3.9,11.3,2.5,6.5,3.25,7.6,5.3,6.2,5.5,4.3,1.6,5.0,4.0,9.4,1.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3559,Maharashtra_27,PUNE,Purandar_4522,Mawadi Kp._186438,Mawadikade Pathar,Mawadikade Pathar,Dug well,SGWD,W181536074143501,18.272604,74.244867,14.85,Basalt,11.6,11.5,14.8,9.0,11.8,6.65,14.8,14.8,14.8,14.0,14.8,14.0,12.5,7.75,14.8,8.1,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
